variable,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,breaks,is_special_values
供应商,"[-inf,inf)",100,1,53,47,0.47,0,0,0,inf,FALSE
经营状况,"[-inf,4.0)",51,0.51,42,9,0.176470588,-1.420300729,0.853548852,1.79230371,4,FALSE
经营状况,"[4.0,14.0)",22,0.22,7,15,0.681818182,0.882284364,0.165051993,1.79230371,14,FALSE
经营状况,"[14.0,inf)",27,0.27,4,23,0.851851852,1.869344167,0.773702865,1.79230371,inf,FALSE
企业年报,"[-inf,2.0)",39,0.39,23,16,0.41025641,-0.542761182,0.022707088,0.445300925,2,FALSE
企业年报,"[2.0,3.0)",24,0.24,16,8,0.333333333,-0.273002869,0.075449595,0.445300925,3,FALSE
企业年报,"[3.0,4.0)",16,0.16,5,11,0.6875,0.408601672,0.126934316,0.445300925,4,FALSE
企业年报,"[4.0,5.0)",11,0.11,7,4,0.363636364,0.939471476,0.020641575,0.445300925,5,FALSE
企业年报,"[5.0,inf)",10,0.1,2,8,0.8,1.506438673,0.199568351,0.445300925,inf,FALSE
融资信息,"[-inf,1.0)",88,0.88,50,38,0.431818182,-0.154292534,0.020811839,0.242526226,1,FALSE
融资信息,"[1.0,2.0)",5,0.05,2,3,0.6,0.52560942,0.01371522,0.242526226,2,FALSE
融资信息,"[2.0,inf)",7,0.07,1,6,0.857142857,1.911903781,0.207999167,0.242526226,inf,FALSE
主要人员,"[-inf,3.0)",74,0.74,45,29,0.391891892,-0.319222348,0.074070862,0.424530969,3,FALSE
主要人员,"[3.0,4.0)",10,0.1,5,5,0.5,0.120144312,0.001446941,0.424530969,4,FALSE
主要人员,"[4.0,inf)",16,0.16,3,13,0.8125,1.586481381,0.349013166,0.424530969,inf,FALSE
变更记录,"[-inf,1.0)",32,0.32,27,5,0.15625,-1.566254642,0.631280474,1.309625565,1,FALSE
变更记录,"[1.0,6.0)",44,0.44,22,22,0.5,0.120144312,0.006366539,1.309625565,6,FALSE
变更记录,"[6.0,8.0)",7,0.07,2,5,0.714285714,1.036435044,0.071148291,1.309625565,8,FALSE
变更记录,"[8.0,inf)",17,0.17,2,15,0.882352941,2.135047332,0.600830261,1.309625565,inf,FALSE
双随机抽查,"[-inf,inf)",100,1,53,47,0.47,0,0,0,inf,FALSE
成立时长,"[-inf,2.0)",17,0.17,14,3,0.176470588,-1.420300729,0.284516284,0.837853936,2,FALSE
成立时长,"[2.0,3.0)",33,0.33,18,15,0.454545455,-0.062177245,0.001272999,0.837853936,3,FALSE
成立时长,"[3.0,5.0)",34,0.34,15,19,0.558823529,0.35653309,0.043224807,0.837853936,5,FALSE
成立时长,"[5.0,6.0)",6,0.06,5,1,0.166666667,1.489293601,0.108812298,0.837853936,6,FALSE
成立时长,"[6.0,inf)",10,0.1,1,9,0.9,2.317368889,0.400027548,0.837853936,inf,FALSE
最终受益人,"[-inf,2.0)",66,0.66,30,36,0.545454545,-0.302465869,0.060468889,0.18391024,2,FALSE
最终受益人,"[2.0,inf)",34,0.34,23,11,0.323529412,0.617454631,0.123441351,0.18391024,inf,FALSE
